Артикул;Цена;Размеры внешние;Вес, кг;Количество дверей;Количество секций;Тип замка;Цвет;Тип покрытия;Гарантия;Производитель;Страна;Описание;фото;Фото 2;Фото 3;Фото 4;Фото 5
Подставка LS 21-80;2407руб.;170/150x808x496;3,3;;1;;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;"Используется для оснащения раздевалок в спортивных центрах и на производственных предприятиях. Подставки LS и подставки со скамьей предназначены для установки на них шкафов для раздевалок серии LS.Предусмотрено крепление шкафа к подставке.Каркас изготовлен из металла 1.5 мм и профильной трубы сечением 20х20 мм. Высота опоры: подставка LS- 150 мм (возможно изготовление под заказ опоры любой высоты); подставка со скамьей- 300 мм. Цвет каркаса: серый полуматовый (RAL 7038). Тип покрытия: порошковое, влагоустойчивое. Поставляются в разобранном виде. ";https://www.safe.ru/upload/iblock/6dc/6dcb244e1a43bd633fc251b1c8f72462.jpg;https://www.safe.ru/upload/resize_cache/iblock/067/450_490_1/0679a5c801b6bbf6e42edf74c8cb0e08.jpg;;;
Подставка LS 31/34;2713руб.;170/150x848x496;3.4;;1;;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;"Используется для оснащения раздевалок в спортивных центрах и на производственных предприятиях. Подставки LS и подставки со скамьей предназначены для установки на них шкафов для раздевалок серии LS.Предусмотрено крепление шкафа к подставке.Каркас изготовлен из металла 1.5 мм и профильной трубы сечением 20х20 мм. Высота опоры: подставка LS- 150 мм (возможно изготовление под заказ опоры любой высоты); подставка со скамьей- 300 мм. Цвет каркаса: серый полуматовый (RAL 7038). Тип покрытия: порошковое, влагоустойчивое. Поставляются в разобранном виде. ";https://www.safe.ru/upload/iblock/97e/97e97363ddb52f25986832a02e445219.jpg;https://www.safe.ru/upload/resize_cache/iblock/a90/450_490_1/a900df4c35db5a5904e74df28e0607c6.jpg;;;
Скамья-подставка LS-21-80 сосна;6467руб.;334/300x813x770;8;;1;;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;Используется для оснащения раздевалок в спортивных центрах и на производственных предприятиях. Подставки LS и подставки со скамьей предназначены для установки на них шкафов для раздевалок серии LS.Предусмотрено крепление шкафа к подставке.Каркас изготовлен из металла 1.5 мм и профильной трубы сечением 20х20 мм. Материал настила сидений: шлифованная сосна размерами 20х96 мм, покрытая защитным составом.Цвет каркаса: серый полуматовый (RAL 7038). Тип покрытия: порошковое, влагоустойчивое. Поставляются в разобранном виде. ;https://www.safe.ru/upload/iblock/123/ls_21_80_min.jpg;;;;
Скамья-подставка LS-21-60 сосна;5743руб.;334/300x600x770;6;;1;;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;Используется для оснащения раздевалок в спортивных центрах и на производственных предприятиях. Подставки LS и подставки со скамьей предназначены для установки на них шкафов для раздевалок серии LS.Предусмотрено крепление шкафа к подставке.Каркас изготовлен из металла 1.5 мм и профильной трубы сечением 20х20 мм. Материал настила сидений: шлифованная сосна размерами 20х96 мм, покрытая защитным составом.Цвет каркаса: серый полуматовый (RAL 7038). Тип покрытия: порошковое, влагоустойчивое. Поставляются в разобранном виде. ;https://www.safe.ru/upload/iblock/d4f/ls_21_60_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/17e/450_490_1/21_60.jpg;;;
Поддон ML/LS 400;867руб.;30x394x457;1.0;;1;;черный;;;ПРОМЕТ;Россия;Гладкая поверхность пола раздевалки, мокрый кафельный пол легко провоцируют скольжение. Индивидуальный противоскользящий коврик для шкафа раздевалки, поможет повысить комфортность и обеспечить безопасность во время переодевания.  Подходит для следующих моделей локеров:LS 01-40LS-001-40LS 11-40DLS 21-80LS 21-80DML 11-40ML 01-40ML 21-80MLH 11-40MLH 01-40;https://www.safe.ru/upload/iblock/3fa/kovrik_400_500_min.jpg;;;;
Поддон ML/LS 300;867руб.;30x294x457;0.595;;1;;черный;;;ПРОМЕТ;Россия;Гладкая поверхность пола раздевалки, мокрый кафельный пол легко провоцируют скольжение. Индивидуальный противоскользящий коврик для шкафа раздевалки, поможет повысить комфортность и обеспечить безопасность во время переодевания.  Подходит для следующих моделей локеров:LS-01 LS-001 LS-21 LS 21-60 ML 11-30 ML 01-30 ML 21-60 MLH — 11-30 MLH — 01-30 MLH — 21-60  ;https://www.safe.ru/upload/iblock/0d0/kovrik_300_500_min.jpg;;;;
Шкаф для раздевалок WL 11-30 голубой/белый;9440руб.;1900x300x500;29.67;1;1;ключевой;голубой / белый;;1 год;ПРОМЕТ;Россия;корпус шкафа изготовлен из ЛДСП толщиной 16 ммфасады шкафа выполнены из ЛДСП толщиной 16 мм, с лазерной ABS кромкой толщиной 2 мм с полимерным функциональным слоем (Германия), которая обеспечивает эффект нулевого шва и улучшает влагостойкость и термостойкость элементов фасадавозможность навески двери как с право- так и левосторонним открываниемзадняя стенка ХДФ толщиной 3 ммметаллическая ручка-кнопкарегулируемые опоры – для компенсации возможных неровностей полавозможность соединения шкафов в единую стенкушкаф поставляется в разобранном виде ;https://www.safe.ru/upload/iblock/572/wl_11-30_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/9fe/450_490_1/wl_11-30_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/a6c/450_490_1/wl_11-30_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/539/450_490_1/wl_11-30_3.jpg;https://www.safe.ru/upload/resize_cache/iblock/251/450_490_1/wl_11-30_4.jpg
Шкаф для раздевалок WL 12-30 голубой/белый;10562руб.;1900x300x500;29.75;2;1;ключевой;голубой / белый;;1 год;ПРОМЕТ;Россия;корпус шкафа изготовлен из ЛДСП толщиной 16 ммфасады шкафа выполнены из ЛДСП толщиной 16 мм, с лазерной ABS кромкой толщиной 2 мм с полимерным функциональным слоем (Германия), которая обеспечивает эффект нулевого шва и улучшает влагостойкость и термостойкость элементов фасадавозможность навески двери как с право- так и левосторонним открываниемзадняя стенка ХДФ толщиной 3 ммметаллическая ручка-кнопкарегулируемые опоры – для компенсации возможных неровностей полавозможность соединения шкафов в единую стенкушкаф поставляется в разобранном виде ;https://www.safe.ru/upload/iblock/cf6/wl_12-30_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/925/450_490_1/wl_12-30_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/57d/450_490_1/wl_12-30_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/b44/450_490_1/wl_12-30_3.jpg;https://www.safe.ru/upload/resize_cache/iblock/047/450_490_1/wl_12-30_4.jpg
Шкаф для раздевалок WL 13-30 голубой/белый;11235руб.;1900x300x500;30.85;3;1;ключевой;голубой / белый;;1 год;ПРОМЕТ;Россия;корпус шкафа изготовлен из ЛДСП толщиной 16 ммфасады шкафа выполнены из ЛДСП толщиной 16 мм, с лазерной ABS кромкой толщиной 2 мм с полимерным функциональным слоем (Германия), которая обеспечивает эффект нулевого шва и улучшает влагостойкость и термостойкость элементов фасадавозможность навески двери как с право- так и левосторонним открываниемзадняя стенка ХДФ толщиной 3 ммметаллическая ручка-кнопкарегулируемые опоры – для компенсации возможных неровностей полавозможность соединения шкафов в единую стенкушкаф поставляется в разобранном виде ;https://www.safe.ru/upload/iblock/a3b/wl_13-30_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/d64/450_490_1/wl_13-30_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/822/450_490_1/wl_13-30_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/4f3/450_490_1/wl_13-30_3.jpg;https://www.safe.ru/upload/resize_cache/iblock/7b1/450_490_1/wl_13-30_4.jpg
Шкаф для раздевалок WL 14-30 голубой/белый;12480руб.;1900x300x500;32.13;4;1;ключевой;голубой / белый;;1 год;ПРОМЕТ;Россия;корпус шкафа изготовлен из ЛДСП толщиной 16 ммфасады шкафа выполнены из ЛДСП толщиной 16 мм, с лазерной ABS кромкой толщиной 2 мм с полимерным функциональным слоем (Германия), которая обеспечивает эффект нулевого шва и улучшает влагостойкость и термостойкость элементов фасадавозможность навески двери как с право- так и левосторонним открываниемзадняя стенка ХДФ толщиной 3 ммметаллическая ручка-кнопкарегулируемые опоры – для компенсации возможных неровностей полавозможность соединения шкафов в единую стенкушкаф поставляется в разобранном виде ;https://www.safe.ru/upload/iblock/e59/wl_14-30_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/467/450_490_1/wl_14-30_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/232/450_490_1/wl_14-30_2.jpg;;
Шкаф для раздевалок WL 21-60 голубой/белый;14877руб.;1900x600x500;52;2;1;ключевой;голубой / белый;;1 год;ПРОМЕТ;Россия;корпус шкафа изготовлен из ЛДСП толщиной 16 ммфасады шкафа выполнены из ЛДСП толщиной 16 мм, с лазерной ABS кромкой толщиной 2 мм с полимерным функциональным слоем (Германия), которая обеспечивает эффект нулевого шва и улучшает влагостойкость и термостойкость элементов фасадавозможность навески двери как с право- так и левосторонним открываниемзадняя стенка ХДФ толщиной 3 ммметаллическая ручка-кнопкарегулируемые опоры – для компенсации возможных неровностей полавозможность соединения шкафов в единую стенкушкаф поставляется в разобранном виде ;https://www.safe.ru/upload/iblock/d4a/WL_21_60_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/cf6/450_490_1/WL_21_60_1.jpg;;;
